DTM_UTC,DTM_LOCAL,TEMATICA,COD_PARAMETRO,PARAMETRO,NR_ESTACAO,COD_SENSOR,LOCAL,LATITUDE,LONGITUDE,UNIDADE,ETIQUETA_NIVEL,COR_NIVEL,VALOR
11-01-2024 7:00,11-01-2024 7:00,RU,LAEQ,LAEQ,5,RULAEQ0005,Avenida Vinte e Quatro de Julho,38.70629477,-9.156625047,dB(A),MODERADO,AMARELO,59.0
11-01-2024 7:00,11-01-2024 7:00,RU,LAEQ,LAEQ,7,RULAEQ0007,Santa Apolónia - Avenida Infante Dom Henrique,38.71271031,-9.123678666,dB(A),NORMAL,VERDE,54.0
11-01-2024 7:00,11-01-2024 7:00,RU,LAEQ,LAEQ,8,RULAEQ0008,Baixa - Rua do Ouro,38.70919626,-9.138081068,dB(A),MUITO ELEVADO,ENCARNADO,68.0
11-01-2024 7:00,11-01-2024 7:00,RU,LAEQ,LAEQ,11,RULAEQ0011,Avenida de Ceuta,38.72071916,-9.17514452,dB(A),ELEVADO,LARANJA,62.0
11-01-2024 7:00,11-01-2024 7:00,RU,LAEQ,LAEQ,12,RULAEQ0012,Rua de São Bento,38.71396664,-9.153285525,dB(A),MUITO ELEVADO,ENCARNADO,67.0
11-01-2024 7:00,11-01-2024 7:00,RU,LAEQ,LAEQ,14,RULAEQ0014,Praça Martim Moniz,38.71533003,-9.1360873,dB(A),ELEVADO,LARANJA,62.0
11-01-2024 7:00,11-01-2024 7:00,RU,LAEQ,LAEQ,17,RULAEQ0017,Jardim Botânico,38.71788174,-9.150015297,dB(A),NORMAL,VERDE,48.0
11-01-2024 7:00,11-01-2024 7:00,RU,LAEQ,LAEQ,18,RULAEQ0018,Parque de Campismo de Lisboa,38.72376372,-9.207074661,dB(A),ELEVADO,LARANJA,63.0
11-01-2024 7:00,11-01-2024 7:00,RU,LAEQ,LAEQ,20,RULAEQ0020,Avenida da Liberdade - Rua Manuel Jesus Coelho,38.72099262,-9.146040679,dB(A),MUITO ELEVADO,ENCARNADO,66.0
11-01-2024 7:00,11-01-2024 7:00,RU,LAEQ,LAEQ,22,RULAEQ0022,Campo de Ourique,38.72073064,-9.168101516,dB(A),MODERADO,AMARELO,55.0
11-01-2024 7:00,11-01-2024 7:00,RU,LAEQ,LAEQ,23,RULAEQ0023,Avenida Almirante Reis,38.72385559,-9.135315162,dB(A),NORMAL,VERDE,29.0
